UNIT NAME,UNIT CODE,SETTLEMENT POINT NAME,FUEL,ZONE,YEAR,CAPACITY
QUAIL RUN ENERGY CTG 4,QALSW_GT4,QALSW_ALL,GAS-CC,WEST,2008,80
QUAIL RUN ENERGY STG 1,QALSW_STG1,QALSW_ALL,GAS-CC,WEST,2007,98
QUAIL RUN ENERGY STG 2,QALSW_STG2,QALSW_ALL,GAS-CC,WEST,2008,98
R W MILLER CTG 4,MIL_MILLERG4,MIL_MILG345,GAS-GT,NORTH,1994,104
R W MILLER CTG 5,MIL_MILLERG5,MIL_MILG345,GAS-GT,NORTH,1994,104
R W MILLER STG 1,MIL_MILLERG1,MIL_MILG1_2,GAS-ST,NORTH,1968,75
R W MILLER STG 2,MIL_MILLERG2,MIL_MILG1_2,GAS-ST,NORTH,1972,120
R W MILLER STG 3,MIL_MILLERG3,MIL_MILG345,GAS-ST,NORTH,1975,208
RAY OLINGER CTG 4,OLINGR_OLING_4,OLIN_OLING_4,GAS-GT,NORTH,2001,95
RAY OLINGER STG 1,OLINGR_OLING_1,OLIN_OLING_1,GAS-ST,NORTH,1967,78
RAY OLINGER STG 2,OLINGR_OLING_2,OLIN_OLING_2,GAS-ST,NORTH,1971,107
RAY OLINGER STG 3,OLINGR_OLING_3,OLIN_OLING_3,GAS-ST,NORTH,1975,146
REDGATE IC A,REDGATE_AGR_A,REDGATE_ALL,GAS-IC,SOUTH,2016,56.3
REDGATE IC B,REDGATE_AGR_B,REDGATE_ALL,GAS-IC,SOUTH,2016,56.3
REDGATE IC C,REDGATE_AGR_C,REDGATE_ALL,GAS-IC,SOUTH,2016,56.3
REDGATE IC D,REDGATE_AGR_D,REDGATE_ALL,GAS-IC,SOUTH,2016,56.3
RIO NOGALES POWER CTG 1,RIONOG_CT1,RIONOG_CT1,GAS-CC,SOUTH,2002,164
RIO NOGALES POWER CTG 2,RIONOG_CT2,RIONOG_CT2,GAS-CC,SOUTH,2002,164
RIO NOGALES POWER CTG 3,RIONOG_CT3,RIONOG_CT3,GAS-CC,SOUTH,2002,164
RIO NOGALES POWER STG 4,RIONOG_ST1,RIONOG_ST1,GAS-CC,SOUTH,2002,307
SAM RAYBURN POWER CTG 7,RAYBURN_RAYBURG7,RAYB_G78910,GAS-CC,SOUTH,2003,50
SAM RAYBURN POWER CTG 8,RAYBURN_RAYBURG8,RAYB_G78910,GAS-CC,SOUTH,2003,51
SAM RAYBURN POWER CTG 9,RAYBURN_RAYBURG9,RAYB_G78910,GAS-CC,SOUTH,2003,50
SAM RAYBURN POWER STG 10,RAYBURN_RAYBURG10,RAYB_G78910,GAS-CC,SOUTH,2003,40
SAN JACINTO SES CTG 1,SJS_SJS_G1,SJS_SJS_G1,GAS-GT,HOUSTON,1995,83
SAN JACINTO SES CTG 2,SJS_SJS_G2,SJS_SJS_G2,GAS-GT,HOUSTON,1995,83
SANDHILL ENERGY CENTER CTG 1,SANDHSYD_SH1,SANDHSYD1_2,GAS-GT,SOUTH,2001,47
SANDHILL ENERGY CENTER CTG 2,SANDHSYD_SH2,SANDHSYD1_2,GAS-GT,SOUTH,2001,47
SANDHILL ENERGY CENTER CTG 3,SANDHSYD_SH3,SANDHSYD3_4,GAS-GT,SOUTH,2001,47
SANDHILL ENERGY CENTER CTG 4,SANDHSYD_SH4,SANDHSYD3_4,GAS-GT,SOUTH,2001,47
SANDHILL ENERGY CENTER CTG 5A,SANDHSYD_SH_5A,SANDHSYD_5AC,GAS-CC,SOUTH,2004,151
SANDHILL ENERGY CENTER CTG 6,SANDHSYD_SH6,SANDHSYD6_7,GAS-GT,SOUTH,2010,47
SANDHILL ENERGY CENTER CTG 7,SANDHSYD_SH7,SANDHSYD6_7,GAS-GT,SOUTH,2010,47
SANDHILL ENERGY CENTER STG 5C,SANDHSYD_SH_5C,SANDHSYD_5AC,GAS-CC,SOUTH,2004,148
SILAS RAY CTG 10,SILASRAY_SILAS_10,SIL_SILAS_10,GAS-GT,COASTAL,2004,46
SILAS RAY POWER CTG 9,SILASRAY_SILAS_9,SIL_SILAS_9,GAS-CC,COASTAL,1996,38
SILAS RAY POWER STG 6,SILASRAY_SILAS_6,SIL_SILAS_6,GAS-CC,COASTAL,1962,20
SIM GIDEON STG 1,GIDEON_GIDEONG1,GID_GIDEONG1,GAS-ST,SOUTH,1965,130
SIM GIDEON STG 2,GIDEON_GIDEONG2,GID_GIDEONG2,GAS-ST,SOUTH,1968,135
SIM GIDEON STG 3,GIDEON_GIDEONG3,GID_GIDEONG3,GAS-ST,SOUTH,1972,336
SKY GLOBAL POWER ONE IC A,SKY1_SKY1A,SKY1,GAS-IC,SOUTH,2016,26.7
SKY GLOBAL POWER ONE IC B,SKY1_SKY1B,SKY1,GAS-IC,SOUTH,2016,26.7
STRYKER CREEK STG 1,SCSES_UNIT1A,SC2SES_UNIT1,GAS-ST,NORTH,1958,167
STRYKER CREEK STG 2,SCSES_UNIT2,SCSES_UNIT2,GAS-ST,NORTH,1965,502
T H WHARTON CTG 1,THW_THWGT_1,THW_THWGT_1,GAS-GT,HOUSTON,1967,14
T H WHARTON POWER CTG 31,THW_THWGT31,THW_1_CCU,GAS-CC,HOUSTON,1972,56
T H WHARTON POWER CTG 32,THW_THWGT32,THW_1_CCU,GAS-CC,HOUSTON,1972,56
T H WHARTON POWER CTG 33,THW_THWGT33,THW_1_CCU,GAS-CC,HOUSTON,1972,56
