UNIT NAME,UNIT CODE,SETTLEMENT POINT NAME,FUEL,ZONE,YEAR,CAPACITY
TENASKA KIAMICHI STATION 2CT101,KMCHI_2CT101,VLSES_UNIT3,GAS-CC,NORTH,2003,149
TENASKA KIAMICHI STATION 2CT201,KMCHI_2CT201,VLSES_UNIT3,GAS-CC,NORTH,2003,150
TENASKA KIAMICHI STATION 2ST,KMCHI_2ST,VLSES_UNIT3,GAS-CC,NORTH,2003,317
BAFFIN WIND UNIT1,BAFFIN_UNIT1,BAFFIN_ALL,WIND-C,COASTAL,2016,100
BAFFIN WIND UNIT2,BAFFIN_UNIT2,BAFFIN_ALL,WIND-C,COASTAL,2016,102
BRUENNING'S BREEZE A,BBREEZE_UNIT1,BBREEZE_1_2,WIND-C,COASTAL,2017,120
BRUENNING'S BREEZE B,BBREEZE_UNIT2,BBREEZE_1_2,WIND-C,COASTAL,2017,108
CAMERON COUNTY WIND,CAMWIND_UNIT1,CAMWIND_RN,WIND-C,COASTAL,2016,165
CHALUPA WIND,CHALUPA_UNIT1,CHALUP_ALL,WIND-C,COASTAL,2021,173.3
CHAPMAN RANCH WIND IA (SANTA CRUZ),SANTACRU_UNIT1,SANTACRU_ALL,WIND-C,COASTAL,2017,150.6
CHAPMAN RANCH WIND IB (SANTA CRUZ),SANTACRU_UNIT2,SANTACRU_ALL,WIND-C,COASTAL,2017,98.4
EAST RAYMOND WIND (EL RAYO) U1,EL_RAYO_UNIT1,EL_RAYO_ALL,WIND-C,COASTAL,2021,98
EAST RAYMOND WIND (EL RAYO) U2,EL_RAYO_UNIT2,EL_RAYO_ALL,WIND-C,COASTAL,2021,96
ESPIRITU WIND,CHALUPA_UNIT2,CHALUP_ALL,WIND-C,COASTAL,2021,25.2
GULF WIND I,TGW_T1,TGW_T1_T2,WIND-C,COASTAL,2021,141.6
GULF WIND II,TGW_T2,TGW_T1_T2,WIND-C,COASTAL,2021,141.6
KARANKAWA WIND 1A,KARAKAW1_UNIT1,KARAKAW1_1,WIND-C,COASTAL,2019,103.3
KARANKAWA WIND 1B,KARAKAW1_UNIT2,KARAKAW1_1,WIND-C,COASTAL,2019,103.3
KARANKAWA WIND 2,KARAKAW2_UNIT3,KARAKAW2_1,WIND-C,COASTAL,2019,100.4
LOS VIENTOS WIND I,LV1_LV1A,LV1A_LV1B,WIND-C,COASTAL,2013,200.1
LOS VIENTOS WIND II,LV2_LV2,LV1A_LV1B,WIND-C,COASTAL,2013,201.6
MAGIC VALLEY WIND (REDFISH) 1A,REDFISH_MV1A,REDFISH_ALL,WIND-C,COASTAL,2012,99.8
MAGIC VALLEY WIND (REDFISH) 1B,REDFISH_MV1B,REDFISH_ALL,WIND-C,COASTAL,2012,103.5
MIDWAY WIND,MIDWIND_UNIT1,WHITE_PT_UN1,WIND-C,COASTAL,2019,162.8
PALMAS ALTAS WIND,PALMWIND_UNIT1,PALMWI_UNIT1,WIND-C,COASTAL,2020,144.9
PAPALOTE CREEK WIND,PAP1_PAP1,PAP1_PAP1,WIND-C,COASTAL,2009,179.9
PAPALOTE CREEK WIND II,COTTON_PAP2,COTTON_PAP2,WIND-C,COASTAL,2010,200.1
PENASCAL WIND 1,PENA_UNIT1,PENA_ALL,WIND-C,COASTAL,2009,160.8
PENASCAL WIND 2,PENA_UNIT2,PENA_ALL,WIND-C,COASTAL,2009,141.6
PENASCAL WIND 3,PENA3_UNIT3,PENA_ALL,WIND-C,COASTAL,2011,100.8
PEYTON CREEK WIND,PEY_UNIT1,PEY_RN,WIND-C,COASTAL,2020,151.2
SAN ROMAN WIND,SANROMAN_WIND_1,RN_SR_WIND1,WIND-C,COASTAL,2017,95.2
SHAFFER (PATRIOT WIND/PETRONILLA),SHAFFER_UNIT1,SHAFFER_ALL,WIND-C,COASTAL,2021,226.1
STELLA WIND,STELLA_UNIT1,STELLA_RN,WIND-C,COASTAL,2018,201
HARBOR WIND,DG_NUECE_6UNITS,#N/A,WIND-C,COASTAL,2012,9
BRISCOE WIND,BRISCOE_WIND,BRISCOE_WIND,WIND-P,PANHANDLE,2015,149.8
CANADIAN BREAKS WIND,CN_BRKS_UNIT_1,CN_BRKS_UNT1,WIND-P,PANHANDLE,2019,210.1
COTTON PLAINS WIND,COTPLNS_COTTONPL,COTPLNS_RN,WIND-P,PANHANDLE,2017,50.4
DOUG COLBECK'S CORNER (CONWAY) B,GRANDVW1_COLB,GRANDVW1_A_B,WIND-P,PANHANDLE,2016,100.2
DOUG COLBECK'S CORNER (CONWAY) A,GRANDVW1_COLA,GRANDVW1_A_B,WIND-P,PANHANDLE,2016,100.2
FALVEZ ASTRA WIND,ASTRA_UNIT1,ASTRA_RN,WIND-P,PANHANDLE,2017,163.2
GRANDVIEW WIND 1 (CONWAY) GV1A,GRANDVW1_GV1A,GRANDVW1_A_B,WIND-P,PANHANDLE,2014,107.4
GRANDVIEW WIND 1 (CONWAY) GV1B,GRANDVW1_GV1B,GRANDVW1_A_B,WIND-P,PANHANDLE,2014,103.8
HEREFORD WIND G,HRFDWIND_WIND_G,HRFDWIND_ALL,WIND-P,PANHANDLE,2015,99.9
HEREFORD WIND V,HRFDWIND_WIND_V,HRFDWIND_ALL,WIND-P,PANHANDLE,2015,100
JUMBO ROAD WIND 1,HRFDWIND_JRDWIND1,HRFDWIND_ALL,WIND-P,PANHANDLE,2015,146.2
JUMBO ROAD WIND 2,HRFDWIND_JRDWIND2,HRFDWIND_ALL,WIND-P,PANHANDLE,2015,153.6
LONGHORN WIND NORTH U1,LHORN_N_UNIT1,LHORN_N_U1_2,WIND-P,PANHANDLE,2015,100
LONGHORN WIND NORTH U2,LHORN_N_UNIT2,LHORN_N_U1_2,WIND-P,PANHANDLE,2015,100
MARIAH DEL NORTE 1,MARIAH_NORTE1,MARIAH_ALL,WIND-P,PANHANDLE,2017,115.2
MARIAH DEL NORTE 2,MARIAH_NORTE2,MARIAH_ALL,WIND-P,PANHANDLE,2017,115.2
MCADOO WIND,MWEC_G1,MWEC_G1,WIND-P,PANHANDLE,2008,150
MIAMI WIND G1,MIAM1_G1,MIAM1_G1_G2,WIND-P,PANHANDLE,2014,144.3
MIAMI WIND G2,MIAM1_G2,MIAM1_G1_G2,WIND-P,PANHANDLE,2014,144.3
OLD SETTLER WIND,COTPLNS_OLDSETLR,COTPLNS_RN,WIND-P,PANHANDLE,2017,151.2
PANHANDLE WIND 1 U1,PH1_UNIT1,PH1_UNIT1_2,WIND-P,PANHANDLE,2014,109.2
PANHANDLE WIND 1 U2,PH1_UNIT2,PH1_UNIT1_2,WIND-P,PANHANDLE,2014,109.2
PANHANDLE WIND 2 U1,PH2_UNIT1,PH2_U1_U2,WIND-P,PANHANDLE,2014,94.2
PANHANDLE WIND 2 U2,PH2_UNIT2,PH2_U1_U2,WIND-P,PANHANDLE,2014,96.6
ROUTE 66 WIND,ROUTE_66_WIND1,ROUTE66_RN,WIND-P,PANHANDLE,2015,150
SALT FORK 1 WIND U1,SALTFORK_UNIT1,SLTFRK_UN1_2,WIND-P,PANHANDLE,2017,64
SALT FORK 1 WIND U2,SALTFORK_UNIT2,SLTFRK_UN1_2,WIND-P,PANHANDLE,2017,110
SOUTH PLAINS WIND 1 U1,SPLAIN1_WIND1,SPLAIN1_RN,WIND-P,PANHANDLE,2015,102
SOUTH PLAINS WIND 1 U2,SPLAIN1_WIND2,SPLAIN1_RN,WIND-P,PANHANDLE,2015,98
SOUTH PLAINS WIND 2 U1,SPLAIN2_WIND21,SPLAIN2_RN,WIND-P,PANHANDLE,2016,148.5
SOUTH PLAINS WIND 2 U2,SPLAIN2_WIND22,SPLAIN2_RN,WIND-P,PANHANDLE,2016,151.8
SPINNING SPUR WIND TWO A,SSPURTWO_WIND_1,SSPURT_WIND1,WIND-P,PANHANDLE,2014,161
SPINNING SPUR WIND TWO B,SSPURTWO_SS3WIND2,SSPURT_WIND1,WIND-P,PANHANDLE,2015,98
SPINNING SPUR WIND TWO C,SSPURTWO_SS3WIND1,SSPURT_WIND1,WIND-P,PANHANDLE,2015,96
WAKE WIND 1,WAKEWE_G1,WAKEWE_ALL,WIND-P,PANHANDLE,2016,114.9
WAKE WIND 2,WAKEWE_G2,WAKEWE_ALL,WIND-P,PANHANDLE,2016,142.3
WHIRLWIND ENERGY,WEC_WECG1,WEC_WECG1,WIND-P,PANHANDLE,2007,57
AMADEUS WIND 1 U1,AMADEUS1_UNIT1,AMADEUS_ALL,WIND-O,WEST,2021,36.7
AMADEUS WIND 1 U2,AMADEUS1_UNIT2,AMADEUS_ALL,WIND-O,WEST,2021,35.8
AMADEUS WIND 2 U1,AMADEUS2_UNIT3,AMADEUS_ALL,WIND-O,WEST,2021,177.7
ANACACHO WIND,ANACACHO_ANA,ANACACHO_ANA,WIND-O,SOUTH,2012,99.8
AVIATOR WIND U1,AVIATOR_UNIT1,AVIAT_ALL,WIND-O,WEST,2021,180.1
AVIATOR WIND U2,AVIATOR_UNIT2,AVIAT_ALL,WIND-O,WEST,2021,145.6
AVIATOR WIND U3,DEWOLF_UNIT1,AVIAT_ALL,WIND-O,WEST,2021,199.3
BARTON CHAPEL WIND,BRTSW_BCW1,BRTSW_BCW1,WIND-O,NORTH,2007,120
BLUE SUMMIT WIND 1 A,BLSUMMIT_BLSMT1_5,BLSMT1_5_A_6,WIND-O,WEST,2013,8.8
BLUE SUMMIT WIND 1 B,BLSUMMIT_BLSMT1_6,BLSMT1_5_A_6,WIND-O,WEST,2013,124.3
BLUE SUMMIT WIND 2 A,BLSUMMIT_UNIT2_25,BLSMT1_5_A_6,WIND-O,WEST,2020,89.7
BLUE SUMMIT WIND 2 B,BLSUMMIT_UNIT2_17,BLSMT1_5_A_6,WIND-O,WEST,2020,6.7
BLUE SUMMIT WIND 3 A,BLSUMIT3_UNIT_17,BLSMT1_5_A_6,WIND-O,WEST,2020,13.4
BLUE SUMMIT WIND 3 B,BLSUMIT3_UNIT_25,BLSMT1_5_A_6,WIND-O,WEST,2020,182.4
BOBCAT BLUFF WIND,BCATWIND_WIND_1,BCATWD_WD_1,WIND-O,WEST,2020,162
BUCKTHORN WIND 1 A,BUCKTHRN_UNIT1,BUCKTHRN_RN,WIND-O,NORTH,2017,44.9
BUCKTHORN WIND 1 B,BUCKTHRN_UNIT2,BUCKTHRN_RN,WIND-O,NORTH,2017,55.7
BUFFALO GAP WIND 1,BUFF_GAP_UNIT1,BUFF_GAP_ALL,WIND-O,WEST,2006,120.6
BUFFALO GAP WIND 2_1,BUFF_GAP_UNIT2_1,BUFF_GAP_ALL,WIND-O,WEST,2007,115.5
BUFFALO GAP WIND 2_2,BUFF_GAP_UNIT2_2,BUFF_GAP_ALL,WIND-O,WEST,2007,117
BUFFALO GAP WIND 3,BUFF_GAP_UNIT3,BUFF_GAP_ALL,WIND-O,WEST,2008,170.2
BULL CREEK WIND U1,BULLCRK_WND1,BULLCRK_1_2,WIND-O,WEST,2009,88
BULL CREEK WIND U2,BULLCRK_WND2,BULLCRK_1_2,WIND-O,WEST,2009,90
CABEZON WIND (RIO BRAVO I WIND) 1 A,CABEZON_WIND1,CABEZON_ALL,WIND-O,SOUTH,2019,115.2
CABEZON WIND (RIO BRAVO I WIND) 1 B,CABEZON_WIND2,CABEZON_ALL,WIND-O,SOUTH,2019,122.4
CALLAHAN WIND,CALLAHAN_WND1,CALLAHA_WND1,WIND-O,WEST,2004,123.1
CAMP SPRINGS WIND 1,CSEC_CSECG1,CSC_CSECG1_2,WIND-O,WEST,2007,130.5
CAMP SPRINGS WIND 2,CSEC_CSECG2,CSC_CSECG1_2,WIND-O,WEST,2007,120
CAPRICORN RIDGE WIND 1,CAPRIDGE_CR1,CAPRIDGE_ALL,WIND-O,WEST,2007,231.7
CAPRICORN RIDGE WIND 2,CAPRIDGE_CR2,CAPRIDGE_ALL,WIND-O,WEST,2007,149.5
CAPRICORN RIDGE WIND 3,CAPRIDGE_CR3,CAPRIDGE_ALL,WIND-O,WEST,2008,200.9
CAPRICORN RIDGE WIND 4,CAPRIDG4_CR4,CAPRIDG4_CR4,WIND-O,WEST,2008,121.5
CEDRO HILL WIND 1,CEDROHIL_CHW1,CEDROHI_CHW1,WIND-O,SOUTH,2010,75
CEDRO HILL WIND 2,CEDROHIL_CHW2,CEDROHI_CHW1,WIND-O,SOUTH,2010,75
CHAMPION WIND,CHAMPION_UNIT1,TKWSW_CHAMP,WIND-O,WEST,2008,126.5
DERMOTT WIND 1_1,DERMOTT_UNIT1,DERMOTT_ALL,WIND-O,WEST,2017,126.5
DERMOTT WIND 1_2,DERMOTT_UNIT2,DERMOTT_ALL,WIND-O,WEST,2017,126.5
DESERT SKY WIND 1,INDNENR_INDNENR,INDNENR_1_RN,WIND-O,WEST,2002,85.1
DESERT SKY WIND 2,INDNENR_INDNENR_2,INDNENR_2_RN,WIND-O,WEST,2002,85.1
