ResourceName,SettlementPointName,ResourceType
OCI_ALM1_UNIT1,RN_OCI_ALAMO,PVGR
OVEJA_G1,HICK_G1_G2,WIND
OVEJA_G2,HICK_G1_G2,WIND
OWF_OWF,OWF_OWF,WIND
PALMWIND_UNIT1,PALMWI_UNIT1,WIND
PAP1_PAP1_J01,PAP1_PAP1,WIND
PAP1_PAP1_J02,PAP1_PAP1,WIND
PC_NORTH_PANTHER1,PC_NORTH_1,WIND
PC_SOUTH_PANTH31,PC_SOUTH_ALL,WIND
PC_SOUTH_PANTH32,PC_SOUTH_ALL,WIND
PC_SOUTH_PANTHER2,PC_SOUTH_ALL,WIND
PC_SOUTH_PANTHER3,PC_SOUTH_ALL,WIND
PENA_UNIT1,PENA_ALL,WIND
PENA_UNIT2_J01,PENA_ALL,WIND
PENA_UNIT2_J02,PENA_ALL,WIND
PENA3_UNIT3,PENA_ALL,WIND
PEY_UNIT1,PEY_RN,WIND
PH1_UNIT1,PH1_UNIT1_2,WIND
PH1_UNIT2,PH1_UNIT1_2,WIND
PH2_UNIT1,PH2_U1_U2,WIND
PH2_UNIT2,PH2_U1_U2,WIND
PHILLWND_UNIT1,PHILLWND_ALL,WIND
PHILLWND_UNIT2,PHILLWND_ALL,WIND
PHOEBE_UNIT1,PHOEBE_ALL,PVGR
PHOEBE_UNIT2,PHOEBE_ALL,PVGR
PHOENIX_UNIT1,PHOENIX_RN,PVGR
PLN_UNIT1,PLN_ALL,PVGR
PLN_UNIT2,PLN_ALL,PVGR
PROSPERO_UNIT1,PROSPERO_ALL,PVGR
PROSPERO_UNIT2,PROSPERO_ALL,PVGR
PRSPERO2_UNIT1,PRSPERO2_ALL,PVGR
PRSPERO2_UNIT2,PRSPERO2_ALL,PVGR
PYR_PYRON1,PYR_PYRON1,WIND
PYR_PYRON2,PYR_PYRON1,WIND
QUEEN_SL_SOLAR1,QUEEN_SL_RN,WIND
QUEEN_SL_SOLAR1,QUEEN_SL_RN,PVGR
QUEEN_SL_SOLAR2,QUEEN_SL_RN,PVGR
QUEEN_SL_SOLAR2,QUEEN_SL_RN,WIND
QUEEN_SL_SOLAR3,QUEEN_SL_RN,PVGR
QUEEN_SL_SOLAR3,QUEEN_SL_RN,WIND
QUEEN_SL_SOLAR4,QUEEN_SL_RN,WIND
QUEEN_SL_SOLAR4,QUEEN_SL_RN,PVGR
RAMBLER_UNIT1,RAMBLER_UNIT,PVGR
RANCHERO_UNIT1,RANCHERO_ALL,WIND
RANCHERO_UNIT2,RANCHERO_ALL,WIND
RDCANYON_RDCNY1,RDCAN_RDCNY1,WIND
REDBARN_UNIT_1,REDBARN_RN,PVGR
REDBARN_UNIT_2,REDBARN_RN,PVGR
REDFISH_MV1A,REDFISH_ALL,WIND
REDFISH_MV1B,REDFISH_ALL,WIND
RELOJ_UNIT1,RELOJ_ALL,WIND
RELOJ_UNIT2,RELOJ_ALL,WIND
RELOJ_UNIT3,RELOJ_ALL,WIND
RELOJ_UNIT4,RELOJ_ALL,WIND
REROCK_UNIT1,REROCK_ALL,PVGR
REROCK_UNIT2,REROCK_ALL,PVGR
RIGGINS_UNIT1,RIGGIN_UNIT1,PVGR
RIPPEY_UNIT1,RIPPEY_ALL,PVGR
ROUTE_66_WIND1,ROUTE66_RN,WIND
RSNAKE_G1,RSK_RN,WIND
RSNAKE_G2,RSK_RN,WIND
RTS_U1,RN_RTS1,WIND
RTS2_U1,RN_RTS1,WIND
RTS2_U2,RN_RTS1,WIND
S_HILLS_UNIT1,S_HILLS_RN,WIND
SAGEDRAW_UNIT1,TAHOKA_ALL,WIND
SAGEDRAW_UNIT2,TAHOKA_ALL,WIND
SALTFORK_UNIT1,SLTFRK_UN1_2,WIND
SALTFORK_UNIT2,SLTFRK_UN1_2,WIND
SALVTION_UNIT1,SALVTION_GEN,WIND
SALVTION_UNIT2,SALVTION_GEN,WIND
SANROMAN_WIND_1,RN_SR_WIND1,WIND
SANTACRU_UNIT1,SANTACRU_ALL,WIND
SANTACRU_UNIT2,SANTACRU_ALL,WIND
SENATEWD_UNIT1,SENATEWD_1,WIND
SGMTN_SIGNALM2,SGM_SIGNALMT,WIND
SGMTN_SIGNALMT,SGM_SIGNALMT,WIND
SHAFFER_UNIT1,SHAFFER_ALL,WIND
SHANNONW_UNIT_1,SHANNONW_RN,WIND
SIRIUS_UNIT1,SIRIUS_UNIT1,PVGR
SIRIUS_UNIT2,SIRIUS_UNIT1,PVGR
SOLARA_UNIT1,SOLARA_UNIT1,PVGR
SPLAIN1_WIND1,SPLAIN1_RN,WIND
SPLAIN1_WIND2,SPLAIN1_RN,WIND
SPLAIN2_WIND21,SPLAIN2_RN,WIND
SPLAIN2_WIND22,SPLAIN2_RN,WIND
SPTX12B_UNIT1,SPTX12B_RN,PVGR
SRWE1_SRWE2,SRWE1_UNIT1,WIND
SRWE1_UNIT1,SRWE1_UNIT1,WIND
SSPURTWO_SS3WIND1,SSPURT_WIND1,WIND
SSPURTWO_SS3WIND2,SSPURT_WIND1,WIND
SSPURTWO_WIND_1,SSPURT_WIND1,WIND
STELLA_UNIT1,STELLA_RN,WIND
STRATEGC_UNIT1,STRATEGC_RN,PVGR
STWF_T1,STWF_T1,WIND
